measurement_time	Y	X	Z
6716610742668490752	0.731995	0.510864	0.134521
6716610764899240960	0.733276	0.513153	0.134338
6716610787379100672	0.729736	0.506653	0.134583
6716610810275570688	0.734192	0.511353	0.134521
6716610832167019520	0.732971	0.509552	0.134552
6716610854908870656	0.732056	0.509644	0.134552
6716610877822521344	0.733429	0.511597	0.134644
6716610899726855168	0.732941	0.510406	0.134552
6716610922189534208	0.733612	0.510345	0.134521
6716610944708046848	0.731812	0.50882	0.134613
6716610967621697536	0.733002	0.509277	0.13446
6716610989848153088	0.733368	0.510406	0.134521
6716611039476500480	0.733337	0.512451	0.13446
6716611062347201536	0.732483	0.510559	0.134491
6716611084324549632	0.734528	0.512299	0.13446
6716611106362025984	0.732117	0.512299	0.134369
6716611128515467264	0.73233	0.51123	0.134552
6716611150634549248	0.732544	0.510284	0.134552
6716611172551767040	0.730591	0.505676	0.134583
6716611194516230144	0.734039	0.511169	0.134583
6716611216914484224	0.732147	0.511261	0.134583
6716611239029271552	0.730804	0.508972	0.134705
6716611260766100480	0.731995	0.510864	0.134613
6716611282996851712	0.733612	0.510864	0.134583
6716611305051508736	0.732635	0.510559	0.134583
6716611326981611520	0.732727	0.510406	0.134583
6716611348967548928	0.732178	0.511169	0.134491
6716611371172530176	0.732605	0.512604	0.134552
6716611393394691072	0.733154	0.508301	0.134399
6716611415226009600	0.730621	0.508057	0.134552
6716611437465350144	0.733948	0.512634	0.134308
6716611459378273280	0.735809	0.512604	0.134491
6716611481450109952	0.734314	0.513611	0.134491
6716611503663681536	0.733948	0.509308	0.134705
6716611525756992512	0.735107	0.511108	0.134521
6716611547949088768	0.731476	0.50885	0.134796
6716611570119709696	0.732697	0.506653	0.134766
6716611592410590208	0.732178	0.510468	0.134552
6716611614409412608	0.732697	0.510254	0.134552
6716611636172012544	0.732178	0.508026	0.134552
6716611658471482368	0.735138	0.512756	0.13446
6716611707769116672	0.732208	0.510223	0.134644
6716611730498083840	0.732727	0.511932	0.13446
6716611753231345664	0.733093	0.5112	0.134705
6716611774693297152	0.72998	0.507019	0.134521
6716611797349250048	0.733185	0.511292	0.134583
6716611818540618752	0.732117	0.509033	0.134644
6716611840015455232	0.733337	0.512054	0.134552
6716611861241183232	0.729614	0.50824	0.134766
6716611882703134720	0.731628	0.511108	0.134705
6716611905595311104	0.734436	0.513062	0.134338
6716611927911960576	0.732666	0.510773	0.134613
6716611962963188736	0.731476	0.509399	0.134491
6716612012879298560	0.7323	0.508514	0.134613
6716612034044897280	0.735046	0.513275	0.134338
6716612055524029440	0.733337	0.509186	0.134613
6716612078111261696	0.736176	0.512329	0.134491
6716612116053003264	0.732269	0.512604	0.13446
6716612139001013248	0.732086	0.507385	0.134796
6716612161605426176	0.732086	0.510284	0.134583
